,Conjunto de Features,Modelo,R2_Media_CV
27,voting,Random Forest,0.8969781456278701
7,filter,Random Forest,0.8969718977835708
22,sfs,Random Forest,0.8969718977835708
17,rfe,Random Forest,0.8969718977835708
12,modelo,Random Forest,0.8960420410673635
18,rfe,Lightgbm,0.8931918682164344
28,voting,Lightgbm,0.8931918682164344
23,sfs,Lightgbm,0.8931918682164344
8,filter,Lightgbm,0.8931918682164344
13,modelo,Lightgbm,0.8918710577554153
14,modelo,XGBoost,0.8881922215984286
2,visual,Random Forest,0.8862556111725237
29,voting,XGBoost,0.8847573528887581
24,sfs,XGBoost,0.8843260091988385
19,rfe,XGBoost,0.8843260091988385
9,filter,XGBoost,0.8843260091988385
3,visual,Lightgbm,0.88223150202417
4,visual,XGBoost,0.8688104705399597
33,pca,Lightgbm,0.8290368646998536
32,pca,Random Forest,0.8108775426455133
10,modelo,Lineal,0.8027505471952334
5,filter,Lineal,0.795411867037589
20,sfs,Lineal,0.795411867037589
15,rfe,Lineal,0.795411867037589
25,voting,Lineal,0.7954118670375889
0,visual,Lineal,0.7848434601296177
30,pca,Lineal,0.7758871289882918
34,pca,XGBoost,0.7731447889590536
11,modelo,SVR,0.7152293782992949
16,rfe,SVR,0.7133893627009945
6,filter,SVR,0.7133893627009945
21,sfs,SVR,0.7133893627009945
26,voting,SVR,0.7133893627009944
1,visual,SVR,0.6994491367888068
31,pca,SVR,0.5498641953365422
